-10.,-10.,0.,0.,0.
-10.,-9.5,0.,0.,0.
-10.,-9.,0.,0.,0.
-10.,-8.5,0.,0.,0.
-10.,-8.,0.,0.,0.
-10.,-7.5,0.,0.,0.
-10.,-7.,0.,0.,0.
-10.,-6.5,0.,0.,0.
-10.,-6.,0.,0.,0.
-10.,-5.5,0.,0.,0.
-10.,-5.,0.,0.,0.
-10.,-4.5,0.,0.,0.
-10.,-4.,0.,0.,0.
-10.,-3.5,0.,0.,0.
-10.,-3.,0.,0.,0.
-10.,-2.5,0.,0.,0.
-10.,-2.,0.,0.,0.
-10.,-1.5,0.,0.,0.
-10.,-1.,0.,0.,0.
-10.,-0.5,0.,0.,0.
-10.,0.,0.,0.,0.
-10.,0.5,0.,0.,0.
-10.,1.,0.,0.,0.
-10.,1.5,0.,0.,0.
-10.,2.,0.,0.,0.
-10.,2.5,0.,0.,0.
-10.,3.,0.,0.,0.
-10.,3.5,0.,0.,0.
-10.,4.,0.,0.,0.
-10.,4.5,0.,0.,0.
-10.,5.,0.,0.,0.
-10.,5.5,0.,0.,0.
-10.,6.,0.,0.,0.
-10.,6.5,0.,0.,0.
-10.,7.,0.,0.,0.
-10.,7.5,0.,0.,0.
-10.,8.,0.,0.,0.
-10.,8.5,0.,0.,0.
-10.,9.,0.,0.,0.
-10.,9.5,0.,0.,0.
-10.,10.,0.,0.,0.
-9.5,-10.,0.,0.,0.
-9.5,-9.5,0.71,0.71,0.71
-9.5,-9.,0.71,0.71,0.71
-9.5,-8.5,0.71,0.71,0.71
-9.5,-8.,0.71,0.71,0.71
-9.5,-7.5,0.71,0.71,0.71
-9.5,-7.,0.71,0.71,0.71
-9.5,-6.5,0.71,0.71,0.71
-9.5,-6.,0.71,0.71,0.71
-9.5,-5.5,0.71,0.71,0.71
-9.5,-5.,0.71,0.71,0.71
-9.5,-4.5,0.71,0.71,0.71
-9.5,-4.,0.71,0.71,0.71
-9.5,-3.5,0.71,0.71,0.71
-9.5,3.5,0.71,0.71,0.71
-9.5,4.,0.71,0.71,0.71
-9.5,4.5,0.71,0.71,0.71
-9.5,5.,0.71,0.71,0.71
-9.5,5.5,0.71,0.71,0.71
-9.5,6.,0.71,0.71,0.71
-9.5,6.5,0.71,0.71,0.71
-9.5,7.,0.71,0.71,0.71
-9.5,7.5,0.71,0.71,0.71
-9.5,8.,0.71,0.71,0.71
-9.5,8.5,0.71,0.71,0.71
-9.5,9.,0.71,0.71,0.71
-9.5,9.5,0.71,0.71,0.71
-9.5,10.,0.,0.,0.
-9.,-10.,0.,0.,0.
-9.,-9.5,0.71,0.71,0.71
-9.,-9.,0.71,0.71,0.71
-9.,-8.5,0.71,0.71,0.71
-9.,-8.,0.71,0.71,0.71
-9.,-7.5,0.71,0.71,0.71
-9.,-7.,0.71,0.71,0.71
-9.,-6.5,0.71,0.71,0.71
-9.,-6.,0.71,0.71,0.71
-9.,-5.5,0.71,0.71,0.71
-9.,-5.,0.71,0.71,0.71
-9.,-4.5,0.71,0.71,0.71
-9.,4.5,0.71,0.71,0.71
-9.,5.,0.71,0.71,0.71
-9.,5.5,0.71,0.71,0.71
-9.,6.,0.71,0.71,0.71
-9.,6.5,0.71,0.71,0.71
-9.,7.,0.71,0.71,0.71
-9.,7.5,0.71,0.71,0.71
-9.,8.,0.71,0.71,0.71
-9.,8.5,0.71,0.71,0.71
-9.,9.,0.71,0.71,0.71
-9.,9.5,0.71,0.71,0.71
-9.,10.,0.,0.,0.
-8.5,-10.,0.,0.,0.
-8.5,-9.5,0.71,0.71,0.71
-8.5,-9.,0.71,0.71,0.71
-8.5,-8.5,0.71,0.71,0.71
-8.5,-8.,0.71,0.71,0.71
-8.5,-7.5,0.71,0.71,0.71
-8.5,-7.,0.71,0.71,0.71
-8.5,-6.5,0.71,0.71,0.71
-8.5,-6.,0.71,0.71,0.71
-8.5,-5.5,0.71,0.71,0.71
-8.5,5.5,0.71,0.71,0.71
-8.5,6.,0.71,0.71,0.71
-8.5,6.5,0.71,0.71,0.71
-8.5,7.,0.71,0.71,0.71
-8.5,7.5,0.71,0.71,0.71
-8.5,8.,0.71,0.71,0.71
-8.5,8.5,0.71,0.71,0.71
-8.5,9.,0.71,0.71,0.71
-8.5,9.5,0.71,0.71,0.71
